;Country;Servings od beer;Servings od spirit;Servings of wine;Total servings of alcohol
0;Afghanistan;0;0;0;0
1;Albania;89;132;54;275
2;Algeria;25;0;14;39
3;Andorra;245;138;312;695
4;Angola;217;57;45;319
5;Antigua & Barbuda;102;128;45;275
6;Argentina;193;25;221;439
7;Armenia;21;179;11;211
8;Australia;261;72;212;545
9;Austria;279;75;191;545
10;Azerbaijan;21;46;5;72
11;Bahamas;122;176;51;349
12;Bahrain;42;63;7;112
13;Bangladesh;0;0;0;0
14;Barbados;143;173;36;352
15;Belarus;142;373;42;557
16;Belgium;295;84;212;591
17;Belize;263;114;8;385
18;Benin;34;4;13;51
19;Bhutan;23;0;0;23
20;Bolivia;167;41;8;216
21;Bosnia-Herzegovina;76;173;8;257
22;Botswana;173;35;35;243
23;Brazil;245;145;16;406
24;Brunei;31;2;1;34
25;Bulgaria;231;252;94;577
26;Burkina Faso;25;7;7;39
27;Burundi;88;0;0;88
28;Cote d'Ivoire;37;1;7;45
29;Cabo Verde;144;56;16;216
30;Cambodia;57;65;1;123
31;Cameroon;147;1;4;152
32;Canada;240;122;100;462
33;Central African Republic;17;2;1;20
34;Chad;15;1;1;17
35;Chile;130;124;172;426
36;China;79;192;8;279
37;Colombia;159;76;3;238
38;Comoros;1;3;1;5
39;Congo;76;1;9;86
40;Cook Islands;0;254;74;328
41;Costa Rica;149;87;11;247
42;Croatia;230;87;254;571
43;Cuba;93;137;5;235
44;Cyprus;192;154;113;459
45;Czech Republic;361;170;134;665
46;North Korea;0;0;0;0
47;DR Congo;32;3;1;36
48;Denmark;224;81;278;583
49;Djibouti;15;44;3;62
50;Dominica;52;286;26;364
51;Dominican Republic;193;147;9;349
52;Ecuador;162;74;3;239
53;Egypt;6;4;1;11
54;El Salvador;52;69;2;123
55;Equatorial Guinea;92;0;233;325
56;Eritrea;18;0;0;18
57;Estonia;224;194;59;477
58;Ethiopia;20;3;0;23
59;Fiji;77;35;1;113
60;Finland;263;133;97;493
61;France;127;151;370;648
62;Gabon;347;98;59;504
63;Gambia;8;0;1;9
64;Georgia;52;100;149;301
65;Germany;346;117;175;638
66;Ghana;31;3;10;44
67;Greece;133;112;218;463
68;Grenada;199;438;28;665
69;Guatemala;53;69;2;124
70;Guinea;9;0;2;11
71;Guinea-Bissau;28;31;21;80
72;Guyana;93;302;1;396
73;Haiti;1;326;1;328
74;Honduras;69;98;2;169
75;Hungary;234;215;185;634
76;Iceland;233;61;78;372
77;India;9;114;0;123
78;Indonesia;5;1;0;6
79;Iran;0;0;0;0
80;Iraq;9;3;0;12
81;Ireland;313;118;165;596
82;Israel;63;69;9;141
83;Italy;85;42;237;364
